camera_id,camera_code,camera_name,location,city,protocol,status
1,POL-CAM-001,Police Camera 001,Police Surveillance Zone 2,Ahmedabad,RTSP,ONLINE
2,POL-CAM-002,Police Camera 002,Police Surveillance Zone 3,Surat,RTSP,ONLINE
3,POL-CAM-003,Police Camera 003,Police Surveillance Zone 4,Vadodara,RTSP,ONLINE
4,POL-CAM-004,Police Camera 004,Police Surveillance Zone 5,Rajkot,RTSP,ONLINE
5,POL-CAM-005,Police Camera 005,Police Surveillance Zone 6,Gandhinagar,RTSP,ONLINE
6,POL-CAM-006,Police Camera 006,Police Surveillance Zone 7,Bhavnagar,RTSP,ONLINE
7,POL-CAM-007,Police Camera 007,Police Surveillance Zone 8,Jamnagar,RTSP,OFFLINE
8,POL-CAM-008,Police Camera 008,Police Surveillance Zone 9,Junagadh,RTSP,ONLINE
9,POL-CAM-009,Police Camera 009,Police Surveillance Zone 10,Anand,RTSP,ONLINE
10,POL-CAM-010,Police Camera 010,Police Surveillance Zone 1,Mehsana,RTSP,ONLINE
11,POL-CAM-011,Police Camera 011,Police Surveillance Zone 2,Ahmedabad,RTSP,ONLINE
12,POL-CAM-012,Police Camera 012,Police Surveillance Zone 3,Surat,RTSP,ONLINE
13,POL-CAM-013,Police Camera 013,Police Surveillance Zone 4,Vadodara,RTSP,ONLINE
14,POL-CAM-014,Police Camera 014,Police Surveillance Zone 5,Rajkot,RTSP,OFFLINE
15,POL-CAM-015,Police Camera 015,Police Surveillance Zone 6,Gandhinagar,RTSP,ONLINE
16,POL-CAM-016,Police Camera 016,Police Surveillance Zone 7,Bhavnagar,RTSP,ONLINE
17,POL-CAM-017,Police Camera 017,Police Surveillance Zone 8,Jamnagar,RTSP,ONLINE
18,POL-CAM-018,Police Camera 018,Police Surveillance Zone 9,Junagadh,RTSP,ONLINE
19,POL-CAM-019,Police Camera 019,Police Surveillance Zone 10,Anand,RTSP,ONLINE
20,POL-CAM-020,Police Camera 020,Police Surveillance Zone 1,Mehsana,RTSP,ONLINE
21,POL-CAM-021,Police Camera 021,Police Surveillance Zone 2,Ahmedabad,RTSP,OFFLINE
22,POL-CAM-022,Police Camera 022,Police Surveillance Zone 3,Surat,RTSP,ONLINE
23,POL-CAM-023,Police Camera 023,Police Surveillance Zone 4,Vadodara,RTSP,ONLINE
24,POL-CAM-024,Police Camera 024,Police Surveillance Zone 5,Rajkot,RTSP,ONLINE
25,POL-CAM-025,Police Camera 025,Police Surveillance Zone 6,Gandhinagar,RTSP,ONLINE
26,POL-CAM-026,Police Camera 026,Police Surveillance Zone 7,Bhavnagar,RTSP,ONLINE
27,POL-CAM-027,Police Camera 027,Police Surveillance Zone 8,Jamnagar,RTSP,ONLINE
28,POL-CAM-028,Police Camera 028,Police Surveillance Zone 9,Junagadh,RTSP,OFFLINE
29,POL-CAM-029,Police Camera 029,Police Surveillance Zone 10,Anand,RTSP,ONLINE
30,POL-CAM-030,Police Camera 030,Police Surveillance Zone 1,Mehsana,RTSP,ONLINE
31,POL-CAM-031,Police Camera 031,Police Surveillance Zone 2,Ahmedabad,RTSP,ONLINE
32,POL-CAM-032,Police Camera 032,Police Surveillance Zone 3,Surat,RTSP,ONLINE
33,POL-CAM-033,Police Camera 033,Police Surveillance Zone 4,Vadodara,RTSP,ONLINE
34,POL-CAM-034,Police Camera 034,Police Surveillance Zone 5,Rajkot,RTSP,ONLINE
35,POL-CAM-035,Police Camera 035,Police Surveillance Zone 6,Gandhinagar,RTSP,OFFLINE
36,POL-CAM-036,Police Camera 036,Police Surveillance Zone 7,Bhavnagar,RTSP,ONLINE
37,POL-CAM-037,Police Camera 037,Police Surveillance Zone 8,Jamnagar,RTSP,ONLINE
38,POL-CAM-038,Police Camera 038,Police Surveillance Zone 9,Junagadh,RTSP,ONLINE
39,POL-CAM-039,Police Camera 039,Police Surveillance Zone 10,Anand,RTSP,ONLINE
40,POL-CAM-040,Police Camera 040,Police Surveillance Zone 1,Mehsana,RTSP,ONLINE
41,POL-CAM-041,Police Camera 041,Police Surveillance Zone 2,Ahmedabad,RTSP,ONLINE
42,POL-CAM-042,Police Camera 042,Police Surveillance Zone 3,Surat,RTSP,OFFLINE
43,POL-CAM-043,Police Camera 043,Police Surveillance Zone 4,Vadodara,RTSP,ONLINE
44,POL-CAM-044,Police Camera 044,Police Surveillance Zone 5,Rajkot,RTSP,ONLINE
45,POL-CAM-045,Police Camera 045,Police Surveillance Zone 6,Gandhinagar,RTSP,ONLINE
46,POL-CAM-046,Police Camera 046,Police Surveillance Zone 7,Bhavnagar,RTSP,ONLINE
47,POL-CAM-047,Police Camera 047,Police Surveillance Zone 8,Jamnagar,RTSP,ONLINE
48,POL-CAM-048,Police Camera 048,Police Surveillance Zone 9,Junagadh,RTSP,ONLINE
49,POL-CAM-049,Police Camera 049,Police Surveillance Zone 10,Anand,RTSP,OFFLINE
50,POL-CAM-050,Police Camera 050,Police Surveillance Zone 1,Mehsana,RTSP,ONLINE
